Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
-----------------------------------------------------------------------------------------------------------------
40000 | 0x6f | 0x00905 |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40001 | 0x29 | 0x00906 |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x1a |  0 |  0 |  0 |  0 |   0 | 
40002 | 0x29 | 0x00907 |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x34 |  0 |  0 |  0 |  0 |   0 | 
40003 | 0x29 | 0x00908 |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x68 |  0 |  0 |  0 |  0 |   0 | 
40004 | 0x19 | 0x00909 |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0xd0 |  0 |  0 |  0 |  0 |   0 | 
40005 | 0xeb | 0x0090a |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x1e | 0xd0 |  0 |  0 |  0 |  0 |   0 | 
40006 | 0xe1 | 0x0090b |     0 | 0x 23f2 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd0 | 0x1e | 0x00 |  0 |  0 |  0 |  0 |   0 | 
40007 | 0x06 | 0x0090c |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40008 | 0xc3 | 0x00910 |     0 | 0x 23f4 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40009 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40010 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40011 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40012 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd0 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40013 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40014 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd1 | 0x27 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40015 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40016 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40017 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40018 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40019 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x00 | 0x07 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40020 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40021 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd1 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40022 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40023 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd2 | 0x27 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
40024 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  0 |  0 |   0 | 
40025 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x3e | 0x07 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  0 |  0 |   0 | 
40026 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40027 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40028 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x3e | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40029 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40030 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd2 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40031 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40032 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x27 | 0x5c |  0 |  0 |  1 |  0 |   0 | 
40033 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x45 | 0x00 | 0x20 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40034 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x45 | 0x06 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40035 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
40036 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x45 | 0x05 | 0x00 | 0x1e | 0xd3 | 0x27 | 0x7c |  0 |  0 |  1 |  0 |   0 | 
